ID_kinopoisk;screens;budget;age_R;time;box_budget;rating;box;views;rezult;rezult4
893508;2120;330000000;6;98;0,28;6,1;94000000;371000;0;0
4473129;1656;79817750;16;90;0,29;5,4;45000000;146000;0;0
1291197;1938;125000000;6;105;0,86;6,2;108000000;384000;0;0
4533880;2039;546916300;12;100;0,18;6,3;98000000;348000;0;0
4919130;414;79817750;0;45;0,29;6;2000000;11000;0;0
4473142;17;79817750;16;88;0,29;6;201000;723;0;0
4432433;2006;110000000;16;81;0,34;4,8;37000000;135000;0;0
4908022;738;100000000;12;95;0,06;6,1;6400000;33000;0;0
4929712;95;79817750;16;96;0,29;6,07;607000;2000;0;0
4476197;191;62694671;16;89;0,03;6,59;1800000;6200;0;0
1338093;1126;65000000;6;81;0,29;6,46;9200000;410000;0;0
4365786;114;79817750;6;54;0,29;6,94;4200000;43000;0;0
1272312;96;79817750;16;100;0,29;5,57;1100000;4000;0;0
4450910;559;110054669;18;96;0,1;7,26;11000000;32000;0;0
4888175;687;79817750;18;90;0,29;5,8;11000000;39000;0;0
4686011;1236;79817750;18;87;0,29;4,82;15000000;53000;0;0
4936396;10;4920000;12;72;0,03;7,7;129000;349;0;0
953736;1070;79817750;6;74;0,29;7,17;20000000;104000;0;0
1112632;1790;300000000;12;120;0,17;7,61;51000000;180000;0;0
1249527;1872;90000000;6;94;1,31;6,27;118000000;511000;0;1
1395461;1793;79817750;12;95;0,29;7,4;34000000;123000;0;0
1445170;1754;102300000;0;65;1,41;8,46;144000000;700000;0;1
1162853;98;79817750;12;128;0,29;7,51;13000000;41000;0;0
4934481;286;79817750;18;92;0,29;5,72;1700000;5400;0;0
4958024;36;120000;18;139;0,66;4,34;79000;300;0;0
4958196;410;79817750;6;88;0,29;7,3;9400000;47000;0;0
4497446;1885;250000000;12;97;1,43;6,63;358000000;1300000;0;1
4400203;1731;57165857;16;110;3,36;7,18;192000000;649000;1;3
1115176;2084;192471453;6;76;1,09;7,79;210000000;1000000;0;1
4935438;360;79817750;6;86;0,29;0;574000;2100;0;0
4974491;269;79817750;16;99;0,29;6,71;2000000;6900;0;0
4920569;725;79817750;12;101;0,29;7,22;3200000;12000;0;0
1112676;996;79817750;16;96;0,29;6,86;24000000;86000;0;0
4366835;331;60848413;12;104;0,13;7,4;7700000;24000;0;0
673428;1908;82518100;18;115;1,03;7,19;85000000;311000;0;1
1167855;859;79817750;18;108;0,29;6,93;21000000;73000;0;0
4973146;180;79817750;16;79;0,29;1,36;597000;2300;0;0
5019031;15;79817750;16;78;0,29;6,26;2600000;9900;0;0
4957174;318;45000000;16;80;0,04;3,57;2000000;7600;0;0
986637;650;134441000;12;95;0,05;5,66;7300000;28000;0;0
5000550;1036;79817750;16;100;0,29;6,14;15000000;58000;0;0
5021743;23;79817750;16;100;0,29;0;6900000;21000;0;0
1356366;1834;79817750;16;102;0,29;5,47;75000000;271000;0;0
4507515;921;79817750;18;87;0,29;4,78;15000000;54000;0;0
